11/21/2014 07:22:02 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:02 PM | csv2ora | INFO | Done.
11/21/2014 07:22:02 PM | csv2ora | INFO | Estimated line count: 1565
11/21/2014 07:22:02 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:02 PM | csv2ora | INFO | Done.
11/21/2014 07:22:02 PM | csv2ora | INFO | Estimated line count: 578
11/21/2014 07:22:02 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:02 PM | csv2ora | INFO | Done.
11/21/2014 07:22:02 PM | csv2ora | INFO | Estimated line count: 348
11/21/2014 07:22:02 PM | csv2ora | WARNING | Overriding num_of_shards 1->3.
11/21/2014 07:22:02 PM | csv2ora | WARNING | Skipping CSV file header (1 rows)
11/21/2014 07:22:02 PM | csv2ora | INFO | Starting Thread-0
11/21/2014 07:22:02 PM | csv2ora | INFO | Thread-0 processing Shard-0
11/21/2014 07:22:02 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:02 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:02 PM | csv2ora | INFO | Done.
11/21/2014 07:22:02 PM | csv2ora | INFO | Thread-0 exit status 0
11/21/2014 07:22:02 PM | csv2ora | INFO | Thread-0 processing Shard-1
11/21/2014 07:22:02 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:03 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:03 PM | csv2ora | INFO | Done.
11/21/2014 07:22:03 PM | csv2ora | INFO | Thread-0 exit status 0
11/21/2014 07:22:03 PM | csv2ora | INFO | Thread-0 processing Shard-2
11/21/2014 07:22:03 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:03 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:03 PM | csv2ora | INFO | Done.
11/21/2014 07:22:03 PM | csv2ora | INFO | Thread-0 exit status 0
11/21/2014 07:22:03 PM | csv2ora | INFO | Exiting Thread-0
11/21/2014 07:22:03 PM | csv2ora | INFO | Shard-0/0:        1563 rows
11/21/2014 07:22:03 PM | csv2ora | INFO | Shard-1/0:         577 rows
11/21/2014 07:22:03 PM | csv2ora | INFO | Shard-2/0:         347 rows
11/21/2014 07:22:03 PM | csv2ora | INFO | TOTAL Bytes:      251789 Bytes
11/21/2014 07:22:03 PM | csv2ora | INFO | TOTAL Rows:         2487 Rows
11/21/2014 07:22:03 PM | csv2ora | INFO | Done.
11/21/2014 07:22:03 PM | csv2ora | INFO | Elapsed: 00:00:01
