11/22/2014 12:45:07 AM | csv2ora | INFO | Counting lines in input file...
11/22/2014 12:45:07 AM | csv2ora | INFO | Done.
11/22/2014 12:45:07 AM | csv2ora | INFO | Estimated line count: 432
11/22/2014 12:45:07 AM | csv2ora | INFO | Starting Thread-0
11/22/2014 12:45:07 AM | csv2ora | INFO | Thread-0 processing Shard-0
11/22/2014 12:45:07 AM | csv2ora | INFO | Loading data...
11/22/2014 12:45:09 AM | csv2ora | INFO | SQL*Loader status =0
11/22/2014 12:45:09 AM | csv2ora | INFO | Done.
11/22/2014 12:45:09 AM | csv2ora | INFO | Thread-0 exit status 0
11/22/2014 12:45:09 AM | csv2ora | INFO | Exiting Thread-0
11/22/2014 12:45:09 AM | csv2ora | INFO | Shard-0/0:         433 rows
11/22/2014 12:45:09 AM | csv2ora | INFO | TOTAL Bytes:       43732 Bytes
11/22/2014 12:45:09 AM | csv2ora | INFO | TOTAL Rows:          433 Rows
11/22/2014 12:45:09 AM | csv2ora | INFO | Done.
11/22/2014 12:45:09 AM | csv2ora | INFO | Elapsed: 00:00:01
